ci,client,account_number,account_type,suspend
12451340,Gerry Lathleiff,9541104193,current,false
27014500,Grier Teager,4409900072,current,true
20756468,Lemuel Sillis,6147486691,current,true
17736268,Charmine Hagyard,9516276164,current,false
20776223,Ashlin Ivanov,7967928059,current,true
26206803,Nikki Augustin,6097540582,current,false
23913176,Rayner Bineham,8536061782,current,true
19486989,Wake Mateos,3843386455,debit,true
15926016,Wilmer Etienne,6560550508,debit,false
27603837,Brandi Acom,3733372832,current,true
19214884,Carmon Richard,7450009188,debit,false
18573081,Piotr Casterot,0040121836,debit,false
23853507,Stirling Castellino,5645326997,debit,true
23538533,Elwin McGurk,1895097304,debit,true
20093369,Kandy Angear,2004649917,debit,true
24135317,Perry Howship,9392932391,debit,true
21679141,Roselia Mathonnet,2426832096,current,false
23674569,Der Jeandel,7088746514,current,true
19295101,Aymer Unstead,9670502578,debit,false
19427620,Celestina Tregian,5584008389,debit,true
19240219,Abigale Essery,9411386385,debit,true
24592322,Tanya Klaves,2384092316,current,true
14947515,Ursuline Durston,2546368621,current,false
13161847,Eustacia McCarrick,8787450445,current,true
27984253,Donaugh Jentgens,2166847013,current,false
16790720,Timothy Chipman,4160087019,debit,false
27551143,Jaimie Orehead,9398952858,debit,false
28139834,Coral Hodcroft,1292022434,debit,false
27862289,Walden Ambrogio,4293776117,debit,true
14274154,Constantine Feldmark,1521387044,current,false
14050733,Arlee Minshaw,5125144967,current,true
18014412,Caleb Castagne,4401845390,debit,true
13980988,Karlik Tierny,7475830616,debit,true
17120493,Milissent Breeze,3008538193,debit,true
27653640,Remy Imason,7022429626,debit,false
19701569,Susan Kos,3271893802,current,true
17141594,Humbert MacDougal,0163471967,current,false
14003588,Myrvyn Lackinton,2819417825,current,true
23755959,Eyde Ziebart,5378117305,current,true
29775074,Goober Midden,0874262461,current,false
24672791,Marshal Langthorne,7851833809,current,false
12105653,Catharina Goadsby,2584354659,debit,false
15569427,Stephi Vero,2653495163,current,false
20531039,Cob Fluit,5191207033,debit,false
21546198,Aigneis Silvers,9892264800,current,true
23117089,Jane Maiden,3982646006,current,true
25239954,Jesse Lenard,8955222963,debit,false
13948975,Chickie Storms,5765817823,debit,true
21877051,Dorice Clissold,8179227898,debit,true
16977301,Dierdre Balloch,2723672670,current,true
16519440,Davina Hallatt,9038005180,current,true
22413450,Max Meaney,1734967811,current,false
25694134,Rani Yurov,8588678896,debit,false
26301978,Linnet Symmons,8598565725,current,false
13194871,Friedrich Spedroni,1732141649,current,false
19902065,Tine Tattershaw,5116944670,debit,true
19894223,Massimo Brane,6090102695,current,true
28472968,Luis Hannan,3632296618,current,false
22454204,Danica Welbrock,7860877341,current,true
19802064,Syman Wheatland,9222774361,debit,true
28589471,Gustav Glendenning,9162485016,debit,true
29454013,Leslie Staining,2074884788,debit,false
27108305,Haroun Bruna,7348832873,current,true
13210251,Annnora Dudson,9159960876,current,true
13244439,Maynord Symms,4250765989,current,true
27983084,Celestyna Duinbleton,1926213246,current,false
23004360,Pierrette Medendorp,5167928370,current,false
18700632,Pierce Adney,4466228930,debit,false
21579248,Merle Bolletti,3532167182,debit,true
17654940,Jaclyn Hasney,8928051126,current,true
23403995,Simmonds Bursnell,5311293314,current,true
23824209,Noam Lathwell,6540737815,debit,false
16139942,Kaiser Strangman,7715942537,current,false
15710025,Kassandra Nuccitelli,1957316349,debit,false
25267764,Susannah Cloutt,7336117554,debit,false
15427783,Maurita Jagg,2580030352,current,false
26101907,Rafaellle Westgate,0632340622,debit,true
22248526,Llywellyn Parncutt,7595817080,debit,false
28567146,Monica Marmyon,2194266135,debit,true
19588579,Bruce Roony,5821130972,current,true
22652032,Sheppard Readhead,3619728941,debit,false
17664898,Elita Bromhead,3308038293,current,true
22128436,Andres Massei,5418527630,debit,false
17482799,Tommy Brent,9198483129,current,true
25851994,Any Bonifas,6317406820,current,true
25933153,Brose Sapir,7453971403,current,false
12682561,Neille Wreak,2711966224,debit,false
22247400,Freedman Wherrett,4142380990,current,true
15086050,Jere De Winton,4085138340,debit,false
25764205,Yettie Sewards,6944464047,current,false
19391997,Rosana Jellicorse,9432925765,current,true
12400366,Neil Pennetta,5131446589,debit,false
18228566,Alix Feaveryear,1258259222,current,true
28872962,Casandra Salasar,1517190592,current,true
22663015,Lilllie Eastlake,1254324526,debit,false
23360880,Elroy Morilla,6793318020,current,true
29150123,Cathleen Vasyaev,2540019668,current,true
18913471,Izzy Meikle,1928326900,current,true
23686141,Noah Proudlove,2374436284,debit,true
28649767,Hanson Phateplace,1138836672,current,true
22634470,Obidiah Marsay,2409488390,current,true
24676038,Casar Antognoni,7411331996,debit,false
21605419,Mal Gemelli,2926146833,debit,false
22142520,Rora Trusty,8107080432,current,false
23459233,Conney Blaxall,5322960287,current,false
21945123,Bertina Harriskine,5974182367,debit,true
18462461,Klement Bugge,2496619693,debit,true
29649155,Eadmund Larmuth,1908224088,debit,true
21136808,Wilona Kenrick,5049188164,current,false
19755094,Hallie Hendricks,6965717033,debit,true
27467411,Esmeralda Pittson,2963746350,debit,false
17193103,Judye Domingues,5487616469,current,false
21514933,Gay Owlner,6676557479,current,false
27013313,Naomi Proudler,8412103742,current,false
12893420,Lorie Laurentin,1416352554,debit,false
17079933,Agosto Ivashin,4960046953,debit,false
27452704,Fowler Addekin,1477506896,debit,true
29739241,Aeriel Anan,7770077958,debit,true
15405515,Nessi Channing,2949656552,current,false
21433434,Alla Edmenson,6563062326,debit,true
15636051,Eolanda Records,6157025093,debit,false
15591434,Jan Dickin,6567414855,current,false
28850711,Elga Passo,0090143183,current,true
24749230,Karola Olivo,3129868666,current,true
21640647,Nance Hedditch,1330878868,current,true
20941350,Carrol Domenici,0998969559,debit,true
12440800,Wanda Greep,7941581655,debit,true
26695236,Neils Rozzell,0748702644,current,false
17639858,Kelcey Simonelli,0097103756,debit,false
14487682,Neddie Ligoe,1711407054,current,false
18926548,Lin Topham,1449976115,debit,true
24312540,Benjamen Masey,4196264646,debit,false
19840016,Rickert Sarfatti,7092795338,current,false
12461208,Charles Cant,1062841476,debit,true
14382472,Kristi Messer,1221532820,debit,true
20931650,Arlen Croser,6891278023,current,true
15033518,Becca Inkpin,0760215081,debit,true
19360034,Quentin Trengove,2790647445,debit,false
28276754,Lovell Germann,4530764796,debit,true
27881649,Briny Roake,8950595958,current,true
23555664,Emily Livesay,9548088525,debit,false
20727810,Sandy McCarrison,3971694284,debit,false
21824178,Ginnifer Hadaway,7964839764,current,true
24391642,Cissiee Pauleit,3385890357,debit,true
20578936,Keriann Wallman,7706437647,current,true
27650057,Dulcinea Gobeau,9883232365,current,false
16465792,Arlinda Vescovo,1732241929,current,false
15768322,Celka Abram,7371144716,current,true
23277389,Abigael O'Cahill,0643056556,debit,false
26831649,Angelia Dawnay,6546693437,debit,false
21378444,Cornela Endrighi,0540437603,current,true
19693714,Madel Tomsett,8999571041,debit,false
15341187,Rina Hussey,8506278260,current,false
29050058,Gerda Foy,0436154277,debit,true
29861939,Reamonn Longfoot,7338794790,debit,false
21919569,Erroll Ough,2824084006,current,false
26674437,Karel Kermode,2465691287,current,false
20268473,Lydon McCuis,0178995037,debit,false
26450765,Yorgo Lydster,1908364335,debit,false
16823596,Marven Serrell,1521047723,current,false
17714800,Arthur Conlon,3029420825,debit,false
26599585,Vannie Romans,3273349565,current,false
23566599,Batholomew Leinthall,5700424649,debit,true
27925468,Moishe Bowker,4909642897,current,false
20156582,Loella Sarten,5668669750,debit,true
26806151,Caril Winscum,4453506007,debit,false
12249215,Rozamond Petcher,4180916967,current,false
18232829,Lindon Kindread,6403109391,current,true
24275970,Ogdan Overton,3098794623,current,false
16656743,Helene Blinder,9032289659,debit,false
23346681,Gerty Cay,1150883170,current,false
20266423,Correy Clewett,7399630798,current,true
21884224,Perceval Kollaschek,6317568014,debit,false
29961597,Brandon Maxweell,7836756211,current,true
28522083,Tam Vockings,6709339173,debit,false
28044562,Dallas Vasilov,6565428344,current,true
22065988,Elisabeth Tite,9930049479,current,true
19484350,Ogdan Birth,1887096531,debit,true
16229045,Obed Keats,8933435514,current,false
22637025,Britni Rountree,6752351112,debit,false
27617727,Ofilia Seckom,9165971035,debit,false
12218236,Mattias Hritzko,3579050664,debit,false
21090544,Jamie Cicullo,5871542999,current,true
27763731,Armstrong Tante,0900378700,debit,true
13331267,Elinor Fitzmaurice,0911582967,current,false
29725400,Sydney Soloway,4975556243,debit,true
20371508,Janice McClinton,1096235072,current,true
18827035,Daisey Vanyutin,0767991125,current,false
22394602,Amalee Gooley,7065387674,debit,true
29116103,Kit Borgne,9473744587,current,false
22605137,Clemens Konke,0225295725,current,false
26928906,Tildie Arstingall,5101873667,current,true
15604965,Herbert Lightbourn,7592750538,debit,true
20514688,Chaunce Bolton,1088325807,current,false
15382083,Alika Marcome,3928326414,debit,true
29588475,Margot Barthelmes,7151318049,debit,true
26914847,Valeria Godmar,5741723519,debit,false
20830959,Wilt Felder,8215307841,current,true
17861561,Trace Gurko,1194131255,debit,true
26463224,Wilt O'Hara,0239171802,current,true
22025396,Carissa McCluin,4597003967,debit,false
15762220,Ronny Leslie,6180486115,current,false
21777102,Peadar Booth,0702592145,current,false
20388011,Garwin Flinn,9011694015,current,false
25557632,Minnnie Valsler,0167435132,current,true
28047143,Marijo Nattrass,6939441123,debit,false
19721065,Sarah Cayser,8571766118,current,false
24975496,Koralle Pentycross,1759191213,debit,true
19853977,Evin O'Kelly,7079652642,debit,false
21178768,Marris Albrighton,4520095816,debit,false
14638051,Fielding Thomason,6567946989,debit,true
19849572,Bogey Guisler,8531302668,debit,true
28265795,Lodovico Hayball,2620659027,debit,false
24539969,Guenna Awdry,9345638075,debit,false
14512255,Nesta Stentiford,2771116308,debit,false
24503918,Margalo Oganesian,0065959388,debit,false
22606544,Bernie Yerill,8928526035,debit,true
22453471,Vivie Doerr,0370538722,current,true
15716139,Morna Pountney,9618736458,current,true
22263827,Gussie Fenelow,2740187092,current,false
27259420,Aldin Lowcock,5544058156,debit,false
27361160,Alaric O'Regan,9390429730,current,false
18673921,Loraine Proudley,8331956168,debit,true
21687801,Leonie Petr,5449919980,debit,false
27431420,Onfre Marti,6930183954,current,true
28586285,Winne O'Doherty,8270121916,current,true
25517041,Hermina Freschi,0089358392,debit,false
13097799,Danyette Stockin,3071292236,debit,true
15329054,Mandel Sertin,6606263603,debit,false
13327252,Suzi Emsley,0712311947,current,true
22513673,Freda Lackney,8958824832,current,false
21095283,Rosanne Vanshin,4571191413,debit,true
27483578,Sarette Beddingham,7118953903,debit,true
20839469,Giffy Goady,9881255546,debit,false
12178639,Glynn Blamire,9723843552,current,false
28496689,Kari Swalwel,2815318318,debit,true
21222707,Morty Heppenspall,5590559375,debit,false
12483581,Agathe Broadhurst,9457870360,debit,true
22796489,Zuzana MacColm,9262412533,current,false
13422437,Traver Deares,9108899371,debit,false
19800192,Cordey Dennes,8090405517,current,false
14693601,Ophelia Briddle,5937989961,current,true
25529195,Merle Slisby,3042042324,debit,false
26271095,Tomlin Brabyn,7248480657,current,false
17375166,Witty Belford,7491309933,debit,true
14481861,Lewiss Burnard,0608789119,current,true
13803417,Martita Jendricke,4131795701,debit,false
20658569,Brannon Scanes,9291466409,current,true
16973845,Bastien Gibbie,9464070706,current,false
12903951,Datha Johanchon,0690061900,current,true
20813624,Deeyn Skaif,0998256641,current,true
27535659,Tiebold Jiggens,6530370447,current,true
17399030,Alexandr Starzaker,3064956787,current,false
15752159,Conway Dearing,2678563316,debit,true
14575970,Kelsy Girardini,4812599172,current,false
20074351,Toiboid Mose,5806248887,current,false
12697269,Shawnee Petrazzi,3731439840,debit,true
21967215,Fredek Maydway,6397298302,debit,false
24794157,Margaux Merigeau,2275257896,debit,true
20251775,Damon Worssam,8713782134,current,false
21628063,Shandeigh Hakey,0473724316,debit,false
17829990,West Gabotti,8610394999,current,true
29228753,Maurice Reichert,3261354623,debit,true
25479588,Cortie Baynton,0462187861,debit,false
27756244,Blanca Lune,4591840387,current,false
28609946,Chelsae Tynan,8578043278,debit,false
12651249,Odessa Sartain,6087977104,current,true
17268522,Nils Eymer,3294265093,current,false
26515893,Christoper Claessens,9106032982,debit,false
23359370,Dexter Swayton,3839822874,current,true
27810091,Brit Pentony,6379464271,current,true
22424957,Val Cardillo,4051883841,debit,false
18152014,Merrill Joslyn,7777580981,current,true
24668332,Clayborne Blum,0461723492,debit,false
13679259,Jenda Maides,9627753564,debit,false
18414207,Saidee Remirez,0063469715,current,true
25187709,Zitella Leyburn,4161248326,debit,false
29579083,Hubert Reames,5121835876,debit,true
21333226,Nappie Sexton,7372450144,current,false
16589044,Amandi Farlowe,0093339852,debit,false
24148611,Darell Bronot,8763836904,debit,false
24956658,Kirby Farrand,6053640026,current,true
28544067,Meier Raybould,1345043716,current,false
23374383,Ram Vidler,1137809728,debit,false
16418453,Goldia Sebyer,5278822643,debit,true
29952590,Jake Chandler,5013692423,debit,false
17508810,Syman Bussel,8679653802,debit,true
19216559,Thekla Dowyer,4127516275,current,false
27634805,Stevie Axtonne,8024590271,current,false
26121283,Pen Schruyers,3121613324,debit,true
12424994,Allan Bundock,6096198597,debit,true
12672475,Nickie Iban,6272057830,current,true
27559466,Rose Ethington,9212085520,debit,false
14183489,Bambi Dowden,9946028565,current,false
28618463,Ursula De Cristofalo,4189962767,current,false
14233779,Ronalda Franssen,0276519477,current,false
22280211,Saidee Dunlop,7038166581,current,false
17859137,Cairistiona Lovie,8192034119,debit,false
19667902,Alix Potte,5614152660,current,true
25431132,Boot Janda,3186793645,debit,true
29215004,Meris Windrum,1038968941,debit,false
17972231,Mirabella Whiteoak,6196020358,current,true
22470750,Guthry Sugars,4381518039,current,true
13258620,Simone Hornung,8057053968,current,false
21348067,Dewain Tipping,3544917327,current,true
20789571,Kalli Littlemore,3747413366,debit,false
18715656,Mufinella Fennell,4272171895,current,true
29717407,Sid Eighteen,3688706404,debit,true
18595107,Lazar Abramsky,7542538403,current,false
12956316,Vivienne Methley,9466968580,current,true
12822174,Yancy Holehouse,9798589416,debit,false
24083376,Kiel Himpson,8747551844,current,false
17393756,Anna Caveill,7746410421,current,false
14060868,Charis Casarino,9562776859,debit,true
14346589,Aubert Patsall,8700955965,debit,false
19733206,Geordie Hosby,6269036259,debit,true
20744238,Elias Rabley,6238499044,current,false
28444433,Tandi Izakovitz,8676397171,current,false
24394335,Teodor Tolerton,9908595245,debit,true
19965138,Fran Bertomieu,3886935922,current,true
20872131,Harrie Bellham,4380165531,debit,false
26230676,Torey Dominiak,4522889275,debit,true
20238087,Aindrea Harcarse,6912978665,debit,true
17616717,Bibby Mann,5618070944,debit,false
23214245,Helen-elizabeth Whitley,4861880866,current,true
21391408,Killy Bather,1377233588,current,true
12454317,Keene Copozio,0324890125,current,false
20779833,Marlee Bunney,1366465695,current,false
19864286,Walther Rollinson,8109851126,current,true
21531201,Raul Heffy,1345967330,current,true
20054947,Knox Castello,9836126988,current,true
20597577,Anton Poole,3032020727,current,true
17511861,Celestia Edgecumbe,2195521635,current,false
20791379,Carroll Richarz,6754097868,debit,true
19320899,Timofei Fluit,0974272604,debit,true
14138331,Allan Tipling,7250557335,current,false
25316696,Shelden Annandale,6161354500,debit,false
22657493,Huey Whorall,8514783971,debit,true
14480756,Valry Ebbotts,8681611313,debit,false
12765886,D'arcy Ferroli,6885073318,debit,true
24530246,Bank Hastilow,6552112548,current,false
28778580,Amelia Bilby,1044753609,debit,false
13191265,Bobbette Coats,4812232163,debit,true
29987654,Evanne Clarkin,0882350625,current,false
20083096,Vaughn Ely,6937279272,debit,false
23790519,Timi Knoles,6300497720,current,true
21340241,Sollie Amies,6750709273,debit,false
22404002,De witt Severn,1468696378,debit,true
22525642,Burtie Dearan,7981689015,debit,false
14674456,Cathyleen Hapgood,4570113516,debit,true
26192559,Tye Bartalot,6962450222,current,true
26653910,Carina Stormouth,4308081777,current,false
12584003,Gerhard Richardsson,0201729733,debit,true
13698144,Bryan Thumim,1699740887,debit,false
22343025,Lazaro McGookin,8308785522,current,true
26253046,Sibyl Caldaro,7601820440,debit,true
16307351,Hannis Braddick,4690905002,debit,false
25645015,Isac Crippen,9118329004,current,false
26505312,Gladys Tarte,0331802082,debit,true
22398827,Vic Panchen,0348326165,current,true
14862271,Beilul Bubb,2379107289,debit,true
27589366,Leland Petegrew,5538704556,current,false
16926148,Kala Traves,7675110145,debit,false
28706813,Hyman Stanborough,9260922402,current,false
12392651,Putnam Newart,7416141265,debit,true
28382640,Devonne Whinney,6346307401,current,true
24926077,Monti Watkiss,2437830456,debit,false
15472713,Monte Jarmyn,0772281742,debit,true
14389716,Adlai Dobbison,3092125398,current,true
25537072,Greer Speake,2495802753,current,true
20473777,Erminia Mereweather,6156882650,current,true
29920631,Kirstyn Wigan,5731788057,current,false
24944719,Brandi Walls,8419395501,current,false
19685336,Audrey Shawdforth,4993634765,debit,false
18388378,Charles Glencross,1726047687,current,true
15296055,Adrianna Thieme,1662643683,current,true
29956886,Waly Domniney,9326295230,debit,false
18997788,Audre Ferrieri,0137011512,debit,true
29824652,Em Simonian,3171687003,debit,false
16777668,Vanna Sellar,2833286910,debit,true
24301179,Illa Bolin,5425199384,current,true
15877283,Hubert Whoston,6422844352,current,true
18559971,Isacco Lawfull,0576845213,debit,false
22639765,Christa Keates,4114895825,current,false
14409989,Agnola McCarrick,6936699103,debit,true
24860613,Kimberley Jankowski,0118511629,debit,false
16487033,Decca Brass,0340338814,current,true
24532869,Annamarie Caulwell,5494728250,debit,false
17605447,Pippy McKew,4441559208,current,true
27087050,Tessie Janse,9642211327,debit,true
22398516,Carl Allner,7248817031,current,true
12790564,Cheston Tegler,8976504879,current,false
13156496,Scarlet Trelease,2018215272,current,false
19272955,Cross Wordesworth,5300576557,current,true
28567023,Lelah Lindenberg,5403564969,debit,false
25402537,Raymond Swyer-Sexey,1268148040,current,false
14313580,Evanne Keyser,4709275025,debit,false
19187019,Kippar Meneur,0045577064,current,false
27066951,Urbano Lowater,3348309697,debit,false
24344695,Cristine Bunstone,4702102389,current,false
12229866,Justin De Meis,5168615562,debit,false
24030013,Sigmund Ditts,8046825646,current,false
16768000,Anabal Scouler,8217540837,debit,true
17408115,Fidole Oliver-Paull,5941981570,debit,false
21997044,Fidelio Gemmill,8993164223,current,true
15982838,Guglielmo Chape,0411973096,debit,false
24648139,Skell Renvoise,0560195850,debit,false
27924132,Laurella Huckerby,3247322639,current,false
16146692,Murdock Lorryman,1689326255,current,false
22300489,Fania Deniske,3042228584,current,false
20756596,Abbey Duckworth,7369721345,debit,true
23990520,Allan Beck,0129900400,current,false
29718869,Tuck Mose,7694180420,debit,true
16454712,Levey Brolechan,1590208900,current,true
15955900,Irina Braybrooke,8163003057,current,true
21743008,Aubrey Jackes,1133733433,current,false
26269077,Nero Weeke,5405855081,debit,false
29591173,Alic Dougliss,8839095470,debit,true
13239989,Fleur Morat,4419236728,debit,false
28875407,Martino Laste,0797990399,debit,true
16794329,Chickie Cominetti,6541406081,debit,false
23264701,Florence Levin,7365452803,current,false
26378563,Edsel Scarf,2783665441,debit,false
14893940,Ezechiel Wasielewicz,1712642235,debit,false
26213369,Jabez Tutchener,8067676046,current,false
26541627,Cheryl Daldry,4720672116,current,false
22282461,Antonetta Menicomb,6007077632,debit,false
12128038,Wallis Kares,0883394405,current,true
24422709,Zondra Sharram,9793126582,debit,true
28021194,Carly Longdon,4019469040,debit,true
25677927,Bernardo Cowlishaw,7039385651,debit,false
28552159,Christoffer Belchamp,4204653405,debit,false
12431285,Georgie Devenny,9849244755,current,true
28518472,Zane Jepp,9413062900,debit,true
24016734,Sande Smalridge,6662482412,debit,false
28186126,Herby Clac,7718357708,debit,true
16196364,Olivia Fair,1505938961,current,false
28939268,Francklyn Oswick,3609642718,debit,false
15946454,Diahann Clouston,4193573621,current,true
21430692,Stevana Fyall,5865837516,current,false
22097604,Chev Thowless,4688861117,current,false
28451566,Lois Aleso,4271058734,debit,false
28097738,Lindon Olkowicz,2954035722,debit,false
15038060,Olag Fayers,9565797288,current,false
23241833,Vivyan Mapston,0642224927,debit,true
25132578,Barbra Rozenzweig,4212871874,current,true
15885663,Drucill Brumble,0585494924,debit,false
29863477,Teodoor Detoc,1743899203,current,false
19899335,Winonah Keaveny,2665774836,current,true
19645907,Fraser Theuss,0615373089,debit,true
29647410,Robinett Boal,9813578394,current,false
21113880,Ludvig Lubman,3391720786,debit,false
28272780,Miller Felton,4466572542,current,false
20174779,Gian Uebel,3964124737,debit,true
17487929,Sisile Wild,6225631097,debit,true
29633849,Tish Caldes,7679614776,debit,false
21423586,Mohandis Eynon,3596887380,debit,true
29803028,Lilith Aldington,0457067152,current,true
13949043,Rosabella Dungay,0051067390,current,true
14210593,Meara Cunrado,9270020371,current,true
28113679,Sabrina Seine,4466184437,debit,true
13192436,Ford Ewin,7739067601,debit,true
27341425,Clim Emmatt,3092900537,debit,true
17066369,Madalyn Hamlen,2454193884,debit,false
20841588,Bailie Ballentime,4338570385,current,false
17123344,Hazel Oxborough,0714807605,debit,true
23460795,Moreen Upchurch,4011415685,debit,false
27229051,Rosemarie Probat,5460255686,debit,true
16582705,Gianni Lomb,6014935452,current,true
26840336,Gerda Swindlehurst,0508233941,current,false
17422156,Fenelia Phair,6772072766,debit,false
28833352,Leland Philippe,7194810131,current,false
15654211,Theobald Askell,6066135929,debit,true
27401340,Lewes Snowsill,6594160966,current,false
17857799,Pierce Baake,9073775434,current,true
25263683,Husein Baggally,1453875573,current,false
17714538,Mayne Clague,5211448308,current,true
16420702,Micki Blight,2350247376,current,false
19497624,Michaelina Mallam,5507596956,debit,false
14785607,Clive Ashling,0044663013,current,false
15240912,Eloisa Northcliffe,7268917252,current,true
29539908,Jamesy Kem,1705571212,current,false
22489182,Nanny Edsell,1786267748,current,true
20959990,Catrina Barefoot,3720893502,debit,false
24823802,Ignacius Gligoraci,4820903357,debit,true
22053385,Chantal Pease,5136580674,current,true
19340612,Blake Beeby,3202942506,debit,true
26524236,Eba Keelinge,6798562531,debit,false
13695436,Gratia Schoolfield,6908542904,debit,true
15685365,Joshia Toombs,2567672915,current,false
22517634,Garrott Raittie,8040992850,debit,true
17935500,Georgi Pearson,6461216863,debit,true
21546520,Kiersten Whitechurch,5417249777,debit,true
18320845,Billy Tregonna,4744536549,debit,true
25104674,Bancroft Southcott,8995715626,debit,false
14824534,Catie Sears,0191919225,current,false
25840181,Westley Harp,1978679394,current,true
12356848,Sandie Cleugher,1007147202,current,false
19797446,Stanton Jakoubec,7737229337,debit,false
25163444,Tommi Kelcey,7917081907,current,false
19779946,Ermanno Giraldon,6049970947,debit,false
24916693,Aldous Buttriss,7783922597,current,true
24273823,Gabby Geroldo,7485289322,debit,false
12062723,Delilah Malcher,9754116709,current,false
20373682,Ricardo Alps,0967034655,debit,true
26061989,Percival Walas,1936252813,current,false
17340468,Rancell Jaskowicz,5102763695,current,true
13285132,Malinda Elecum,3799802142,current,false
23389834,Kristofor D'Enrico,4839670730,current,true
27064905,Dael Blesing,5890410903,debit,false
25744145,Hamel Lehenmann,8073752433,current,false
20368365,Hasheem Geaney,6923559057,debit,false
12308965,Kerrin Hilldrup,6121509112,current,true
13930258,Lance Geldeford,5233466635,debit,false
20308882,Corny Tonnesen,9148097780,debit,false
18218371,Ferdie Aldcorne,6341478178,debit,false
24088804,Bent Meggison,4244344721,debit,false
14424404,Sanford Seed,0064667731,debit,false
20395381,Tull Jorry,6293596374,debit,false
25731335,Vyky Vass,8266724873,current,false
21744020,Fredra McCaughran,9705374031,current,true
28520618,Dyanne Moysey,0193189380,debit,true
20947932,Morris Nester,1912726513,current,false
20592974,Lyle Dielhenn,8467616393,current,false
13924758,Drucill Plait,6153627005,current,false
20177202,Stephanus Valois,0061620300,current,false
20318725,Raffarty Domelow,8743572073,debit,false
18550893,Brit Giacovazzo,9411560210,current,true
16583236,Kendricks Laux,7972506566,debit,false
25307353,Bettine Brussels,1583907211,current,true
19298894,Verney Sutter,9176412504,current,true
20143473,Karena Lowder,4919388144,current,false
19422996,Brook Giercke,4588340514,current,false
26401632,Jon Wieprecht,7128075070,current,true
29740448,Margeaux Binden,4356124618,debit,false
18387376,Derrek Sanderson,8073110326,current,false
25290039,Rodge Gotts,9064183902,debit,true
14913558,Arabel Hulle,5911001179,current,false
18572425,Henrietta Cadagan,1059194309,debit,true
15860967,Sabine Roantree,4281087087,current,false
25502281,Denny Grimley,2447547587,current,false
26817144,Ad Cremins,3514555567,debit,true
24024704,Stavro Northfield,1661165761,debit,false
13494484,Nancee Kerfoot,4010626577,debit,true
18451858,Ramonda Brandolini,5490206446,debit,true
27987988,Jessalyn Jeschner,8186635297,current,true
22215815,Melina Corston,4284799134,current,true
23188882,Amelina Tildesley,7895412604,debit,false
28956153,Verla Kirsopp,6276868949,current,false
12612576,Hagan Brand,0141488115,debit,false
28407993,Jessi Firbanks,5891022281,debit,false
28645582,Kenyon Gotter,9004470484,debit,false
20482197,Marylynne Pedlow,3413932438,debit,false
27805666,Glenden Shelmerdine,6255854566,debit,true
13492366,Brena Rupke,2698418206,current,false
23267646,Bamby Zuanelli,1354501527,debit,true
24709674,Bern Schirak,2308168730,current,true
20345897,Leilah Capehorn,4068074720,current,false
22602374,Susann Luckett,5020876410,debit,true
23534768,Carin Eagger,1872360580,current,false
20612747,Moyra Posvner,1667372041,debit,false
19522847,Evangeline Highman,2351231554,current,false
17304323,Antonino Statham,0575135255,debit,true
24177921,Carmelle Heliot,7664603145,current,true
16399075,Cherida Urian,5233054337,current,false
